"stfdem","male","agea","eduyrs","mbtru","hinctnta","ppltrst","clsprty","age15"
1,1,37,12,0,3,5,0,22
5,1,71,10,1,1,5,1,56
5,0,83,9,1,1,8,1,68
6,0,41,19,0,6,5,0,26
4,0,25,11,0,1,5,0,10
7,1,30,13,0,8,7,1,15
8,0,40,18,0,10,6,0,25
7,0,57,17,0,10,7,0,42
8,1,56,11,1,,2,1,41
2,0,24,16,0,7,8,1,9
4,0,59,19,1,6,5,0,44
7,0,39,21,0,10,7,0,24
4,0,40,15,0,6,0,1,25
1,0,72,12,1,5,1,1,57
5,0,51,11,0,6,4,1,36
8,0,73,11,1,1,7,1,58
3,1,44,11,1,5,7,0,29
4,1,31,18,0,,7,0,16
7,1,45,13,0,4,5,1,30
2,0,42,20,1,,5,1,27
2,1,55,11,1,3,0,0,40
7,1,73,14,1,9,5,1,58
6,1,71,0,1,5,10,1,56
6,0,33,16,1,1,2,1,18
3,0,68,10,1,1,4,1,53
4,1,41,17,1,5,6,0,26
3,0,58,11,1,8,4,1,43
3,0,29,12,1,6,3,0,14
8,0,75,15,1,3,5,0,60
7,0,84,10,0,3,5,1,69
5,0,67,10,1,1,6,0,52
9,1,48,13,0,6,6,1,33
7,1,51,9,0,,8,1,36
6,0,40,17,1,7,7,0,25
7,1,33,14,0,8,7,1,18
7,0,45,12,0,8,5,1,30
7,0,73,10,0,1,7,1,58
2,0,62,21,1,8,7,1,47
4,1,66,10,1,3,3,1,51
7,1,48,14,1,7,8,1,33
7,0,63,13,1,6,5,1,48
7,1,26,14,0,,7,1,11
8,1,36,18,0,10,7,1,21
7,1,37,16,0,10,7,0,22
7,1,30,18,1,7,7,0,15
7,0,39,17,1,8,8,1,24
7,0,35,17,0,9,7,0,20
5,0,70,12,0,3,6,1,55
5,1,19,15,0,1,6,0,4
8,0,47,13,0,3,7,0,32
8,0,26,17,0,3,4,1,11
7,1,39,14,0,3,5,0,24
2,1,61,18,1,6,7,1,46
2,0,56,10,0,,3,1,41
6,0,50,14,0,10,6,0,35
4,0,53,11,0,6,4,0,38
7,0,70,10,0,2,4,1,55
0,1,72,10,0,1,4,0,57
1,1,45,14,1,,5,1,30
1,1,47,12,0,,6,0,32
8,1,68,10,1,1,8,1,53
7,1,30,24,1,,5,0,15
5,1,42,11,0,8,2,0,27
3,0,47,,0,1,2,1,32
6,0,67,11,1,7,5,1,52
3,0,81,9,0,1,7,1,66
5,0,49,13,0,10,5,1,34
9,1,88,15,1,3,8,1,73
7,0,57,28,1,1,7,0,42
7,1,34,12,1,8,5,1,19
6,0,67,10,0,8,8,1,52
7,0,57,14,0,1,7,1,42
5,1,36,13,0,8,5,1,21
7,0,78,18,1,7,8,0,63
7,1,46,13,0,,6,1,31
3,0,73,12,0,,3,1,58
2,1,66,11,1,1,0,1,51
4,1,51,12,1,,4,1,36
3,1,26,20,0,,7,0,11
5,0,60,18,0,10,5,0,45
8,1,58,11,0,9,6,1,43
9,1,47,16,0,,4,0,32
,1,65,10,0,1,5,0,50
2,1,77,10,1,,6,0,62
10,1,63,11,1,1,8,1,48
3,0,61,10,1,2,7,1,46
10,0,78,11,0,2,10,1,63
6,0,81,10,1,2,3,1,66
1,0,64,11,0,2,8,0,49
6,0,63,16,1,4,7,1,48
4,0,69,12,1,2,5,1,54
1,0,35,17,1,4,5,1,20
7,1,55,12,0,1,8,1,40
6,1,29,14,0,,4,0,14
5,0,67,12,1,7,5,1,52
2,0,38,19,1,1,5,0,23
8,0,70,13,1,2,7,0,55
7,1,42,11,1,3,4,1,27
2,0,42,23,1,7,7,0,27
5,1,82,13,0,,2,0,67
4,1,26,19,0,,2,0,11
6,1,37,15,1,7,4,1,22
8,0,67,11,0,1,7,1,52
6,1,37,11,0,10,6,1,22
5,0,47,11,1,4,3,0,32
7,0,61,27,1,3,6,1,46
8,0,,18,0,,7,0,
5,0,44,14,0,5,7,1,29
4,0,24,13,0,6,3,1,9
8,1,35,16,1,9,7,0,20
2,0,50,11,1,7,8,1,35
5,0,39,11,0,,1,0,24
7,0,44,16,0,8,4,1,29
6,0,55,14,1,8,7,1,40
1,0,34,15,0,2,2,0,19
3,1,22,13,0,5,5,0,7
7,1,33,22,0,10,2,1,18
7,0,60,13,1,8,6,0,45
7,1,83,9,1,3,5,0,68
